,Postcode,Borough,Neighbourhood
273,Weston ,M9N,York
274,Wexford ,M1R,Scarborough
275,Wexford Heights ,M1P,Scarborough
276,Willowdale ,M2M,North York
277,Willowdale South ,M2N,North York
278,Willowdale West ,M2R,North York
279,Wilson Heights ,M3H,North York
280,Woburn ,M1G,Scarborough
281,Woodbine Gardens ,M4B,East York
282,Woodbine Heights ,M4C,East York
283,York Mills ,M2L,North York
284,York Mills West ,M2P,North York
285,York University ,M3J,North York
286,Yorkville ,M5R,Central Toronto
